2018/06/05 18:45:57 [error] 2451#0: *159672 open() "/Users/teojpl/Documents/entry_task/eventsite/static/potato.png" failed (13: Permission denied), client: 127.0.0.1, server: 127.0.0.1, request: "GET /static/potato.png HTTP/1.1", host: "127.0.0.1:8888"
2018/06/05 18:52:30 [error] 2465#0: *159988 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:30 [error] 2465#0: *160015 writev() failed (32: Broken pipe) while sending request to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:30 [error] 2465#0: *159958 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:30 [error] 2465#0: *160054 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:30 [error] 2465#0: *160049 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:30 [error] 2465#0: *160042 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:30 [error] 2465#0: *159738 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:31 [error] 2465#0: *160081 writev() failed (32: Broken pipe) while sending request to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:31 [error] 2465#0: *160084 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:31 [error] 2465#0: *160101 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:31 [error] 2465#0: *160096 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:31 [error] 2465#0: *160119 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:31 [error] 2465#0: *160144 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:31 [error] 2465#0: *159690 writev() failed (32: Broken pipe) while sending request to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:32 [error] 2465#0: *160093 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:32 [error] 2465#0: *160243 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:32 [error] 2465#0: *160277 kevent() reported about an closed connection (54: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:35 [error] 2465#0: *160502 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:35 [error] 2465#0: *160538 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:35 [error] 2465#0: *160556 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:39 [error] 2465#0: *160945 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
2018/06/05 18:52:39 [error] 2465#0: *160949 kevent() reported that connect() failed (54: Connection reset by peer) while connecting to upstream, client: 127.0.0.1, server: 127.0.0.1, request: "GET /testlogin/ HTTP/1.1", upstream: "http://127.0.0.1:9000/testlogin/", host: "127.0.0.1:8888"
